"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2001","6.70","7.91","8.07","6.54","203.65K","-15.30%"
"08/01/2001","7.91","7.98","8.37","7.55","284.37K","-0.25%"
"07/01/2001","7.93","9.25","9.29","7.88","279.88K","-17.31%"
"06/01/2001","9.59","8.65","9.70","8.39","223.72K","12.16%"
"05/01/2001","8.55","8.46","9.35","8.40","296.69K","-10.00%"
"04/01/2001","9.50","7.95","9.82","7.93","279.02K","22.58%"
"03/01/2001","7.75","9.08","9.42","7.70","241.04K","-16.49%"
"02/01/2001","9.28","9.91","10.32","8.90","244.01K","-6.73%"
"01/01/2001","9.95","10.28","10.49","9.46","279.32K","-2.45%"
"12/01/2000","10.20","9.67","10.29","9.18","179.85K","4.62%"
"11/01/2000","9.75","9.98","10.33","8.67","270.89K","-1.52%"
"10/01/2000","9.90","9.38","11.40","9.17","376.01K","1.33%"
"09/01/2000","9.77","10.62","11.03","9.10","291.15K","-7.48%"
"08/01/2000","10.56","10.40","11.15","10.09","253.36K","1.54%"
"07/01/2000","10.40","8.43","10.93","8.35","222.77K","22.35%"
"06/01/2000","8.50","7.57","9.50","7.57","282.04K","12.58%"
"05/01/2000","7.55","6.51","8.04","6.32","304.45K","46.32%"
"04/01/2000","5.16","5.88","6.52","5.50","215.55K","-12.54%"
"03/01/2000","5.90","4.98","5.94","4.94","292.06K","26.88%"
"02/01/2000","4.65","5.30","5.94","4.62","280.78K","-14.21%"
"01/01/2000","5.42","6.15","6.18","5.20","267.06K","-11.44%"
"12/01/1999","6.12","5.62","6.28","5.62","181.23K","5.88%"
"11/01/1999","5.78","6.93","7.10","5.74","299.35K","-15.99%"
"10/01/1999","6.88","6.84","7.27","6.43","273.65K","-1.57%"
"09/01/1999","6.99","6.69","7.11","6.41","281.03K","2.49%"
"08/01/1999","6.82","5.98","6.87","5.82","253.09K","14.05%"
"07/01/1999","5.98","6.22","6.34","5.05","242.79K","6.79%"
"06/01/1999","5.60","5.06","6.17","5.02","320.89K","12.00%"
"05/01/1999","5.00","4.38","5.05","4.36","225.72K","-6.37%"
"04/01/1999","5.34","5.75","5.80","4.53","279.01K","-9.64%"
"03/01/1999","5.91","6.22","6.26","5.35","256.00K","-6.78%"
"02/01/1999","6.34","7.07","7.11","6.29","245.85K","-10.83%"
