,Unnamed: 0,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total,State
5,2003,883,566,541,930,2765,9038,12311,12841,19936,6660,2443,1646,70560,mato_grosso
6,2004,261,397,822,946,4053,11530,13214,16025,34088,11405,2825,1446,97012,mato_grosso
7,2005,440,951,423,1010,2259,2696,6543,18153,27674,9852,1539,564,72104,mato_grosso
8,2006,1000,414,474,428,1013,2398,4561,9975,17382,2818,2711,305,43479,mato_grosso
9,2007,470,280,679,809,1546,3552,4217,18331,37231,11291,1025,537,79968,mato_grosso
10,2008,232,208,227,358,522,1147,2497,5259,9639,7778,984,597,29448,mato_grosso
11,2009,615,203,379,255,601,1148,1730,2326,3692,3173,730,207,15059,mato_grosso
12,2010,327,440,663,893,1382,2186,4037,17459,24140,5433,920,1133,59013,mato_grosso
13,2011,206,147,301,467,640,1074,1066,2652,6634,2533,1198,453,17371,mato_grosso
14,2012,179,200,419,560,958,1933,2120,6429,10620,3475,488,572,27953,mato_grosso
15,2013,276,374,636,411,962,1388,1711,3739,5915,1828,906,408,18554,mato_grosso
16,2014,244,134,481,658,803,1696,2112,6418,6569,4657,836,347,24955,mato_grosso
17,2015,720,396,517,638,437,1328,1461,4498,8933,5730,1670,1413,27741,mato_grosso
18,2016,300,763,934,1351,929,1306,3301,6168,8284,2715,855,399,27305,mato_grosso
19,2017,457,295,698,708,844,1476,2100,4578,14840,3738,928,249,30911,mato_grosso
20,2018,317,266,766,426,985,1623,1816,2650,6638,1711,363,471,18032,mato_grosso
21,2019,576,709,1188,708,1118,2151,2326,8030,10747,1774,1176,666,31169,mato_grosso
22,2020,768,806,1270,992,951,1960,2429,10430,20312,5259,1919,612,47708,mato_grosso
23,2021,479,578,518,631,1149,2185,1715,6617,5602,2358,443,245,22520,mato_grosso
24,2022,556,472,543,526,2533,2210,1919,7699,8876,1548,1466,-,28348,mato_grosso
0,1998,-,-,-,-,-,82,360,228,457,576,307,101,2111,mato_grosso_do_sul
1,1999,239,69,100,97,206,125,1297,4356,2971,2056,1195,306,13017,mato_grosso_do_sul
2,2000,326,81,23,90,127,157,160,530,509,657,274,139,3073,mato_grosso_do_sul
3,2001,97,90,39,108,112,250,590,2450,1384,563,220,143,6046,mato_grosso_do_sul
4,2002,305,98,115,230,88,520,1064,4183,2930,2586,1938,486,14543,mato_grosso_do_sul
5,2003,238,142,159,177,273,499,571,1002,1185,710,476,180,5612,mato_grosso_do_sul
6,2004,375,271,323,175,58,550,598,1605,3070,1104,312,175,8616,mato_grosso_do_sul
7,2005,71,301,261,251,483,557,1364,6141,2291,806,226,152,12904,mato_grosso_do_sul
8,2006,72,149,166,106,298,285,728,1570,1199,333,250,88,5244,mato_grosso_do_sul
9,2007,23,137,179,169,242,530,592,2279,5380,1268,245,95,11139,mato_grosso_do_sul
10,2008,59,108,128,116,152,163,358,823,1754,515,182,472,4830,mato_grosso_do_sul
11,2009,310,173,150,639,866,434,369,818,1165,895,409,85,6313,mato_grosso_do_sul
12,2010,80,167,178,162,132,408,701,1901,2197,746,335,349,7356,mato_grosso_do_sul
13,2011,148,66,47,31,106,117,270,567,1048,348,439,544,3731,mato_grosso_do_sul
14,2012,187,127,192,105,154,110,553,2782,2166,689,150,213,7428,mato_grosso_do_sul
15,2013,161,107,160,93,96,46,226,715,1088,393,368,162,3615,mato_grosso_do_sul
16,2014,156,119,72,113,68,81,190,296,343,529,175,72,2214,mato_grosso_do_sul
17,2015,176,106,119,54,54,289,355,1200,1263,451,228,322,4617,mato_grosso_do_sul
18,2016,108,119,101,141,98,132,673,1292,2292,1070,235,112,6373,mato_grosso_do_sul
19,2017,322,146,164,69,69,150,817,1159,2084,541,136,80,5737,mato_grosso_do_sul
20,2018,47,50,163,94,100,131,333,442,642,124,56,198,2380,mato_grosso_do_sul
21,2019,542,290,159,70,113,397,748,2430,3210,2310,1243,141,11653,mato_grosso_do_sul
22,2020,226,250,575,813,355,508,1305,2508,3097,1949,299,195,12080,mato_grosso_do_sul
23,2021,44,136,129,193,215,257,916,2646,2739,1695,205,202,9377,mato_grosso_do_sul
24,2022,205,182,106,100,333,191,443,230,245,51,54,-,2140,mato_grosso_do_sul
0,1998,-,-,-,-,-,70,231,878,1977,1091,31,21,4299,minas_gerais
1,1999,36,112,13,27,51,133,319,1193,2687,1361,271,32,6235,minas_gerais
2,2000,24,20,24,49,67,135,345,770,1080,1954,43,14,4525,minas_gerais
3,2001,18,39,13,60,83,165,265,858,1597,529,62,44,3733,minas_gerais
4,2002,29,62,62,99,98,207,888,2142,3818,4660,486,280,12831,minas_gerais
5,2003,47,181,123,265,369,1065,1465,2094,7489,5540,508,280,19426,minas_gerais
6,2004,29,36,125,161,237,303,831,1865,5288,3062,1066,226,13229,minas_gerais
7,2005,52,106,157,227,230,336,874,1520,2301,7145,548,206,13702,minas_gerais
8,2006,168,135,103,153,379,444,1277,1948,3077,815,195,138,8832,minas_gerais
