"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2008","90.90","96.10","97.05","89.08","331.12K","-5.56%"
"12/01/2007","96.25","93.85","96.25","90.75","57.90K","2.56%"
"11/01/2007","93.85","95.00","97.15","93.75","299.30K","-1.00%"
"10/01/2007","94.80","96.85","97.05","92.65","95.94K","-2.22%"
"09/01/2007","96.95","97.00","99.00","94.38","289.18K","3.03%"
"08/01/2007","94.10","94.88","95.58","90.08","78.25K","-0.82%"
"07/01/2007","94.88","90.38","95.08","89.40","339.31K","10.97%"
"06/01/2007","85.50","91.35","91.83","84.75","74.41K","-6.20%"
"05/01/2007","91.15","94.03","95.40","90.20","346.76K","-6.30%"
"04/01/2007","97.28","97.80","101.35","95.35","116.23K","-0.33%"
"03/01/2007","97.60","96.85","102.92","95.75","389.76K","3.34%"
"02/01/2007","94.45","90.25","95.17","89.47","116.14K","4.69%"
"01/01/2007","90.22","93.00","94.25","89.35","350.49K","-0.22%"
"12/01/2006","90.42","85.70","91.15","85.03","55.55K","5.51%"
"11/01/2006","85.70","87.95","88.35","84.42","288.56K","-5.20%"
"10/01/2006","90.40","91.00","92.00","87.30","104.40K","-0.28%"
"09/01/2006","90.65","93.50","94.80","88.90","289.82K","0.48%"
"08/01/2006","90.22","83.70","90.50","82.70","132.86K","7.76%"
"07/01/2006","83.72","85.80","87.65","81.95","297.74K","-0.98%"
"06/01/2006","84.55","79.75","86.65","77.50","83.52K","6.09%"
"05/01/2006","79.70","73.65","80.15","73.45","325.16K","0.63%"
"04/01/2006","79.20","79.50","83.12","77.75","84.83K","-0.38%"
"03/01/2006","79.50","87.35","87.60","79.15","331.43K","-11.81%"
"02/01/2006","90.15","92.97","93.55","89.30","91.13K","-3.63%"
"01/01/2006","93.55","96.40","97.05","92.92","320.09K","1.19%"
"12/01/2005","92.45","93.70","97.12","91.75","78.50K","40.33%"
"11/01/2005","65.88","65.88","65.88","65.88","261.83K","-25.56%"
"10/01/2005","88.50","89.00","91.53","87.15","62.93K","-0.70%"
"09/01/2005","89.12","82.25","89.40","80.75","244.88K","7.05%"
"08/01/2005","83.25","81.60","83.75","78.55","65.62K","-4.91%"
"07/01/2005","87.55","87.55","87.55","87.55","235.65K","5.76%"
"06/01/2005","82.78","85.00","85.70","80.70","84.52K","-8.02%"
"05/01/2005","90.00","90.00","90.00","90.00","","-4.17%"
"04/01/2005","93.92","90.00","94.05","87.75","82.91K","2.09%"
"03/01/2005","92.00","89.75","92.00","88.90","0.04K","5.48%"
"02/01/2005","87.22","90.28","92.45","86.80","104.60K","-4.15%"
"01/01/2005","91.00","91.00","93.00","90.75","0.18K","1.28%"
"12/01/2004","89.85","90.00","92.95","84.90","54.54K","5.71%"
"11/01/2004","85.00","85.00","85.00","84.00","0.00K","-3.24%"
"10/01/2004","87.85","84.95","88.20","84.05","72.44K","3.96%"
"09/01/2004","84.50","84.50","84.50","82.00","","0.33%"
"08/01/2004","84.22","85.20","88.00","82.55","67.78K","-2.07%"
"07/01/2004","86.00","86.00","90.10","82.00","0.03K","-1.43%"
"06/01/2004","87.25","87.67","92.70","84.40","86.55K","-2.24%"
"05/01/2004","89.25","84.25","89.25","84.25","0.01K","1.08%"
"04/01/2004","88.30","80.00","89.40","78.50","65.95K","5.12%"
"03/01/2004","84.00","78.95","87.10","78.38","0.21K","3.07%"
"02/01/2004","81.50","76.40","82.55","73.50","58.39K","0.49%"
"01/01/2004","81.10","81.10","81.10","81.10","2.01K","5.05%"
"12/01/2003","77.20","98.75","99.92","74.97","70.82K","-24.31%"
"11/01/2003","102.00","96.00","104.25","96.00","1.33K","0.25%"
"10/01/2003","101.75","87.80","103.60","87.25","62.63K","13.06%"
"09/01/2003","90.00","84.40","92.00","84.30","1.45K","6.70%"
"08/01/2003","84.35","78.70","84.90","75.92","36.71K","6.98%"
"07/01/2003","78.85","71.95","80.50","71.35","2.09K","7.69%"
"06/01/2003","73.22","75.80","76.90","71.50","70.23K","-10.71%"
"05/01/2003","82.00","74.85","82.00","74.60","5.78K","3.73%"
"04/01/2003","79.05","75.90","79.20","75.70","84.53K","4.29%"
"03/01/2003","75.80","76.00","76.15","72.40","172.68K","-4.20%"
"02/01/2003","79.12","82.60","82.85","77.92","73.27K","-4.21%"
"01/01/2003","82.60","79.45","82.70","78.85","166.23K","9.62%"
"12/01/2002","75.35","74.72","76.65","72.72","69.96K","0.76%"
"11/01/2002","74.78","72.90","75.00","72.25","137.50K","9.33%"
"10/01/2002","68.40","67.25","69.95","66.25","74.56K","1.48%"
"09/01/2002","67.40","66.85","70.47","66.75","133.56K","4.14%"
"08/01/2002","64.72","64.90","66.15","63.95","54.80K","-0.43%"
"07/01/2002","65.00","63.45","66.50","63.40","140.35K","2.52%"
"06/01/2002","63.40","60.85","64.35","60.40","63.38K","4.83%"
"05/01/2002","60.48","63.80","65.20","59.35","145.09K","-9.33%"
"04/01/2002","66.70","71.60","72.60","62.30","97.23K","-5.28%"
"03/01/2002","70.42","74.72","76.08","69.55","184.21K","0.06%"
"02/01/2002","70.38","73.40","74.65","70.12","73.73K","-4.57%"
"01/01/2002","73.75","70.28","74.05","69.70","161.25K","8.19%"
"12/01/2001","68.17","67.22","68.30","63.10","67.21K","1.41%"
"11/01/2001","67.22","67.92","68.42","61.75","166.82K","1.51%"
"10/01/2001","66.22","66.35","69.90","64.60","61.65K","0.00%"
"09/01/2001","66.22","72.95","73.45","66.15","126.34K","-7.77%"
"08/01/2001","71.80","71.83","72.50","70.62","73.10K","-0.11%"
"07/01/2001","71.88","74.05","74.92","71.80","145.31K","0.49%"
"06/01/2001","71.53","74.65","74.85","71.53","46.78K","-4.14%"
"05/01/2001","74.62","71.70","74.85","69.83","149.98K","-3.22%"
"04/01/2001","77.10","78.90","79.95","75.10","106.68K","-1.60%"
"03/01/2001","78.35","81.50","81.83","76.78","209.06K","-4.89%"
"02/01/2001","82.38","77.75","83.60","77.75","79.65K","6.23%"
"01/01/2001","77.55","77.80","81.08","76.05","232.17K","-3.33%"
"12/01/2000","80.22","72.10","80.40","71.95","82.73K","11.15%"
"11/01/2000","72.17","72.70","73.60","71.55","187.79K","-0.46%"
"10/01/2000","72.50","69.08","72.90","68.65","69.87K","4.95%"
"09/01/2000","69.08","66.85","69.10","66.25","138.54K","4.32%"
"08/01/2000","66.22","66.60","67.70","65.53","75.04K","-0.75%"
"07/01/2000","66.72","66.80","68.50","66.33","110.21K","-1.11%"
"06/01/2000","67.47","67.80","69.33","66.58","53.25K","-0.46%"
"05/01/2000","67.78","69.30","69.30","66.85","147.54K","-8.71%"
"04/01/2000","74.25","72.20","74.45","71.25","71.72K","2.88%"
"03/01/2000","72.17","71.12","73.40","71.12","177.95K","3.47%"
"02/01/2000","69.75","70.17","71.40","68.80","74.02K","-0.57%"
"01/01/2000","70.15","69.65","71.47","68.72","157.25K","0.79%"
"12/01/1999","69.60","70.30","70.50","67.92","68.67K","-0.93%"
"11/01/1999","70.25","68.45","71.08","67.92","170.93K","-2.73%"
"10/01/1999","72.22","68.20","72.45","68.17","60.23K","5.77%"
"09/01/1999","68.28","66.40","68.70","65.83","175.85K","2.14%"
"08/01/1999","66.85","64.40","66.95","64.15","58.14K","4.10%"
"07/01/1999","64.22","62.30","65.90","61.35","146.03K","0.74%"
"06/01/1999","63.75","64.30","67.47","62.98","71.26K","-0.78%"
"05/01/1999","64.25","62.90","64.30","60.62","154.67K","-3.53%"
"04/01/1999","66.60","66.05","68.10","65.35","90.62K","0.60%"
"03/01/1999","66.20","68.15","68.95","65.75","179.70K","1.69%"
"02/01/1999","65.10","61.70","65.95","61.30","84.90K","5.08%"
"01/01/1999","61.95","60.83","63.83","59.45","137.69K","-0.08%"
"12/01/1998","62.00","63.50","63.65","57.45","58.80K","-1.67%"
"11/01/1998","63.05","64.95","65.20","61.12","153.69K","-1.91%"
"10/01/1998","64.28","59.15","65.65","58.92","70.54K","8.80%"
"09/01/1998","59.08","58.85","62.98","57.42","178.25K","0.65%"
"08/01/1998","58.70","59.05","63.08","57.30","66.68K","-0.31%"
"07/01/1998","58.88","64.50","64.83","58.65","164.49K","-6.51%"
"06/01/1998","62.98","64.70","66.20","62.52","83.57K","-2.43%"
"05/01/1998","64.55","69.47","69.72","64.03","157.50K","-7.12%"
"04/01/1998","69.50","63.75","69.60","63.65","147.03K","9.02%"
"03/01/1998","63.75","64.60","65.95","63.10","175.29K","-0.98%"
"02/01/1998","64.38","64.20","65.40","61.23","132.48K","-0.34%"
"01/01/1998","64.60","66.55","66.85","63.62","149.39K","-2.78%"
