"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2009","127.85","118.05","128.00","111.50","73.28K","8.99%"
"06/01/2009","117.30","137.00","142.90","115.00","169.78K","-14.63%"
"05/01/2009","137.40","119.90","138.85","119.75","76.32K","19.48%"
"04/01/2009","115.00","115.55","120.30","110.80","148.51K","-0.65%"
"03/01/2009","115.75","109.45","119.20","103.30","70.91K","5.76%"
"02/01/2009","109.45","118.90","122.15","108.00","171.29K","-7.95%"
"01/01/2009","118.90","111.85","123.40","106.05","203.44K","6.11%"
"12/01/2008","112.05","113.15","113.20","101.70","32.81K","-1.80%"
"11/01/2008","114.10","114.00","118.50","106.25","159.81K","0.97%"
"10/01/2008","113.00","131.10","131.90","105.05","255.93K","-13.38%"
"09/01/2008","130.45","139.50","143.60","126.80","93.69K","-8.07%"
"08/01/2008","141.90","139.50","147.85","131.20","220.08K","1.83%"
"07/01/2008","139.35","151.15","153.75","133.95","73.92K","-7.65%"
"06/01/2008","150.90","133.85","154.05","130.50","248.32K","12.70%"
"05/01/2008","133.90","133.50","142.00","128.00","103.51K","-0.48%"
"04/01/2008","134.55","127.00","140.65","126.20","199.68K","5.61%"
"03/01/2008","127.40","165.25","166.35","125.85","111.75K","-22.60%"
"02/01/2008","164.60","137.60","169.60","137.15","223.09K","19.15%"
"01/01/2008","138.15","136.00","139.40","129.80","257.63K","1.43%"
"12/01/2007","136.20","125.40","136.85","124.50","44.14K","8.14%"
"11/01/2007","125.95","121.80","127.50","118.05","143.48K","3.79%"
"10/01/2007","121.35","130.00","140.80","119.95","291.51K","-5.67%"
"09/01/2007","128.65","115.00","135.00","112.50","110.96K","14.20%"
"08/01/2007","112.65","113.80","121.90","110.95","252.09K","-1.44%"
"07/01/2007","114.30","111.20","116.20","106.90","101.37K","2.97%"
"06/01/2007","111.00","111.90","118.40","109.25","238.93K","-0.80%"
"05/01/2007","111.90","102.05","114.05","101.10","82.64K","8.48%"
"04/01/2007","103.15","109.25","114.25","102.55","187.98K","-5.58%"
"03/01/2007","109.25","115.10","116.00","107.45","91.53K","-7.18%"
"02/01/2007","117.70","118.30","120.00","112.75","171.36K","0.04%"
"01/01/2007","117.65","124.30","125.90","115.30","219.89K","-6.77%"
"12/01/2006","126.20","120.50","129.75","118.50","73.60K","5.43%"
"11/01/2006","119.70","108.00","121.50","107.40","228.70K","10.58%"
"10/01/2006","108.25","107.10","110.00","100.90","208.29K","0.56%"
"09/01/2006","107.65","103.30","108.60","98.00","80.43K","3.51%"
"08/01/2006","104.00","98.75","109.50","97.50","205.97K","4.68%"
"07/01/2006","99.35","100.00","103.00","93.50","89.75K","-0.15%"
"06/01/2006","99.50","98.55","103.00","94.50","173.77K","0.56%"
"05/01/2006","98.95","108.50","111.50","97.10","117.27K","-7.70%"
"04/01/2006","107.20","106.50","113.90","103.80","169.99K","0.19%"
"03/01/2006","107.00","111.25","113.30","102.80","92.31K","-4.29%"
"02/01/2006","111.80","118.50","119.75","103.80","156.80K","-5.41%"
"01/01/2006","118.20","107.50","125.90","106.20","245.62K","10.36%"
"12/01/2005","107.10","92.50","108.40","91.00","74.70K","15.16%"
"11/01/2005","93.00","97.00","108.50","92.25","154.07K","-3.78%"
"10/01/2005","96.65","93.50","106.80","91.60","188.61K","3.42%"
"09/01/2005","93.45","99.75","101.75","87.50","53.80K","-4.40%"
"08/01/2005","97.75","102.50","108.50","91.60","162.40K","-5.24%"
"07/01/2005","103.15","106.00","107.25","94.40","78.67K","-1.43%"
"06/01/2005","104.65","118.50","126.75","101.70","176.04K","-11.58%"
"05/01/2005","118.35","124.00","125.00","115.00","73.44K","-5.43%"
"04/01/2005","125.15","126.40","132.25","109.75","182.29K","-0.99%"
"03/01/2005","126.40","119.50","137.00","118.75","109.15K","6.08%"
"02/01/2005","119.15","104.25","124.10","103.30","177.30K","13.10%"
"01/01/2005","105.35","103.25","106.25","95.10","206.51K","1.54%"
"12/01/2004","103.75","94.00","108.70","91.00","90.23K","9.85%"
"11/01/2004","94.45","74.70","96.50","73.80","159.60K","26.95%"
"10/01/2004","74.40","81.20","81.30","71.90","200.98K","-9.65%"
"09/01/2004","82.35","70.00","86.40","67.00","119.79K","18.83%"
"08/01/2004","69.30","66.25","71.00","64.80","154.25K","4.29%"
"07/01/2004","66.45","72.90","74.30","66.20","87.00K","-9.10%"
